,code,Station.x,Year.x,Month.x,temp_Deep,temp_Surface,Oxygen_Deep,Oxygen_Surface,Salinity_Deep,Salinity_Surface,stationmonth,Cluster
52,P4-2016-APR,P4,2016,APR,9.6895,11.6252,5.8535,12.893,28.7091,21.4545,P4-APR,2
66,P402-2016-APR,P402,2016,APR,10.685,12.1447,3.390666667,11.508,29.0487,21.8258,P402-APR,2
17,P22-2016-JUL,P22,2016,JUL,8.5647,11.3139,4.383,6.9595,32.6445,30.632,P22-JUL,2
53,P4-2016-JUL,P4,2016,JUL,10.4835,13.6681,4.8815,10.729,29.3059,22.1145,P4-JUL,2
67,P402-2016-JUL,P402,2016,JUL,10.8837,17.9222,0.679333333,9.538,29.5499,26.8865,P402-JUL,2
82,P8-2016-JUL,P8,2016,JUL,11.39026667,13.0196,6.506,7.554,30.62526667,29.6911,P8-JUL,2
18,P22-2017-APR,P22,2017,APR,8.4208,8.5906,7.4195,8.8675,31.9206,29.60235,P22-APR,2
4,P12-2017-JUL,P12,2017,JUL,9.4184,19.7803,3.40325,9.188,29.52825,21.2897,P12-JUL,2
30,P28-2017-JUL,P28,2017,JUL,10.98364,14.3148,6.3712,11.692,29.5544,28.1439,P28-JUL,2
43,P38-2017-JUL,P38,2017,JUL,11.83643333,15.9096,6.1275,11.6665,28.63476667,28.2151,P38-JUL,2
54,P4-2017-JUL,P4,2017,JUL,9.2258,13.4641,4.8425,10.618,28.7712,22.9419,P4-JUL,2
68,P402-2017-JUL,P402,2017,JUL,9.723366667,21.0504,3.3085,8.96,28.91003333,20.9424,P402-JUL,2
83,P8-2017-JUL,P8,2017,JUL,11.11833333,15.6966,6.781833333,10.921,29.98263333,28.0415,P8-JUL,2
5,P12-2017-SEP,P12,2017,SEP,10.3164,16.3571,2.7345,9.8245,29.92376667,25.26325,P12-SEP,2
19,P22-2017-SEP,P22,2017,SEP,8.4601,11.3525,3.07175,5.439,33.0742,30.9534,P22-SEP,2
31,P28-2017-SEP,P28,2017,SEP,12.16498,13.5543,5.5263,6.9545,30.42938,29.6836,P28-SEP,2
44,P38-2017-SEP,P38,2017,SEP,13.41376667,14.68625,5.737333333,7.686,29.69436667,29.221,P38-SEP,2
55,P4-2017-SEP,P4,2017,SEP,11.4992,12.65385,4.0655,6.197855,29.8216,27.37935,P4-SEP,2
