,CTDTMP_DEG_C_ITS90_Deep,CTDTMP_DEG_C_ITS90_Surface,CTDSAL_PSS78_Deep,CTDSAL_PSS78_Surface,OXYGEN_MG_L_1_Deep,OXYGEN_MG_L_1_Surface,Cluster,,5,,
PP402-2016-JUL,0.730349765,0.045270582,0.267273742,0.853422668,1.033841183,1.004448162,3,,,,
PP402-2017-APR,1.493189552,0.373494184,-1.090223468,0.247451241,1.021326731,-0.094528112,3,,,,
PP402-2019-JUL,1.429149814,0.450543284,-0.719218352,0.503859087,1.315990258,0.637609538,3,,,,
PP402-2021-JUL,1.26449493,0.570595239,-1.004479631,0.295355532,1.011425571,1.117445685,3,,,,
PP12-2018-JUL,0.973023085,0.701659604,0.289766125,0.494081777,-1.019651716,0.208999298,2,,,,
PP22-2016-SEP,1.348403162,0.724187384,-0.024054058,-0.401337257,-2.020724385,1.066652405,2,,,,
PP22-2017-JUL,1.192599102,0.946313979,-0.486340373,-0.6790424,-1.545181772,1.026037469,2,,,,
PP22-2017-SEP,2.587050771,1.093683207,0.185323358,-0.735785547,-1.701768302,0.457026235,2,,,,
PP22-2018-APR,1.022078436,1.426035012,0.068747521,-0.043799829,-1.418844914,-0.085042418,2,,,,
PP22-2018-JUL,0.767203896,2.846022679,-0.142679399,-0.470022148,-1.249802638,-0.382617198,2,,,,
PP22-2019-SEP,1.082224562,1.166160976,-0.088982372,-0.356800639,-1.292048374,0.194570947,2,,,,
PP22-2022-JUL,1.207742275,1.995733071,0.228362959,-0.062281731,-1.301061513,0.083939896,2,,,,
PP28-2014-JUL,1.031676222,0.313994054,-0.044959008,-0.195414975,-1.090093275,-0.752281478,2,,,,
PP28-2015-APR,1.630258145,1.064450731,-0.726050461,-1.286641553,-1.388595243,0.203685544,2,,,,
PP28-2015-JUL,-1.496622861,1.669679262,-0.076696751,-0.628073272,-0.955950461,0.762116936,2,,,,
PP28-2016-APR,-0.030855897,1.820471179,-0.269595895,-0.315310443,-1.921170517,-0.129077022,2,,,,
PP28-2017-APR,0.674553336,0.782477814,-0.136050334,0.01878525,-1.208591952,-0.085320451,2,,,,
PP28-2017-SEP,-0.021618865,1.485172766,-0.283292876,-0.421180244,-1.497680543,0.395668056,2,,,,
PP28-2018-APR,-0.479444063,1.452711763,-0.39933674,-2.419040708,-1.057164172,-0.362630169,2,,,,
PP28-2018-SEP,-0.258781634,0.549378779,-0.502159213,-1.905065669,-1.366994006,-0.219952948,2,,,,
PP28-2019-APR,-0.391336989,1.676277027,-0.192740615,-0.680908857,-1.183888606,-0.045300006,2,,,,
PP28-2020-JUL,-0.2770978,0.533940009,0.131326143,0.104156433,-1.177264559,0.002891504,2,,,,
PP28-2021-APR,-0.705238177,0.713993014,0.031357208,-0.318091263,-0.986744771,-0.049586203,2,,,,
PP28-2022-JUL,-0.592972712,1.06126637,-0.070894557,-0.278285807,-1.248716605,0.493615015,2,,,,
PP38-2014-JUL,-0.489786381,-0.550732543,-0.151459437,-0.402747378,-1.2016038,-0.032506227,2,,,,
PP38-2018-APR,0.109515408,2.126871382,-0.489413412,-0.527765112,-1.984455467,-0.083658809,2,,,,
PP38-2018-JUL,-0.246623489,0.844760715,-0.358721388,-0.405925458,-0.526253514,0.244938546,2,,,,
PP38-2019-JUL,0.413311125,0.839746413,-0.573592772,-0.195655719,-1.959041826,-0.169510309,2,,,,
PP4-2015-APR,-0.029671662,0.685589636,-0.149747314,0.0761496,-0.976045104,-1.120036858,2,,,,
PP4-2017-SEP,-0.679106061,1.871702824,-1.100926528,-2.55700912,-0.705192463,-0.490823402,2,,,,
PP4-2018-JUL,-0.345546575,2.120306606,-0.527555698,-0.940319663,-1.151383383,-0.12337748,2,,,,
PP4-2022-JUL,-0.962213303,1.821071533,-0.900049282,-1.681066343,-1.770613941,0.409916747,2,,,,
PP402-2015-SEP,0.588701992,0.729588977,-0.350159747,-0.85837774,-0.903264212,-0.240446039,2,,,,
PP402-2017-SEP,-0.886833877,1.915588804,-1.232221492,-2.162711085,-1.279356419,0.9115913,2,,,,
PP402-2020-SEP,-0.816698238,1.872808474,-0.868710445,-1.054484338,-1.189679704,0.353569439,2,,,,
PP402-2021-SEP,-0.857861959,1.870416336,-0.778003003,-0.925974317,-2.264564993,0.44540753,2,,,,
PP402-2022-SEP,-0.825416032,2.154246305,-1.071731608,-1.434708706,-1.825930293,-0.259039969,2,,,,
PP8-2016-APR,-0.703825741,0.399418286,-0.608948468,-0.276128886,-2.035767829,-0.718307926,2,,,,
PP8-2016-JUL,-1.069317635,1.792365876,-0.651577073,-0.626661776,-1.464157266,0.498534461,2,,,,
PP8-2017-JUL,-0.318800745,1.277833655,-0.469578235,-1.208349452,-0.527145656,0.5008445,2,,,,
PP12-2015-SEP,-1.177414198,-1.402676432,2.260324051,1.011998691,-0.457287963,-1.170752044,1,,,,
PP12-2016-APR,0.252762564,-0.320404327,2.22605633,1.310251049,0.642581156,-0.906187958,1,,,,
PP12-2016-JUL,-1.946410145,-1.280114581,2.48388404,0.963013707,-0.730228823,-1.039998909,1,,,,
PP12-2016-SEP,-0.384743713,-0.966267738,1.391415973,1.092545892,0.493469122,-1.193064903,1,,,,
PP12-2018-SEP,-1.415439292,-1.27837136,1.47437993,0.917576824,0.050430578,-1.132697836,1,,,,
PP12-2019-JUL,-0.900358108,-1.31457672,1.641701506,0.772078182,0.165257411,-0.854227523,1,,,,
PP22-2019-APR,-0.432839286,-0.537301258,1.947651591,0.707179697,-0.024246137,-0.886483682,1,,,,
PP22-2022-APR,-0.983752205,-1.243976267,-0.391735229,0.610057037,-1.129693652,-2.924066666,1,,,,
PP28-2015-SEP,-1.960369233,-1.406759552,2.421194983,0.663339664,-0.346337994,-1.355376845,1,,,,
PP28-2019-SEP,-1.49978082,-1.340254081,2.415773262,1.292281759,-0.157663146,-1.598522374,1,,,,
PP38-2015-JUL,-1.737733079,-1.198468113,2.649858466,1.172865391,-0.11480877,-1.008085606,1,,,,
PP38-2017-SEP,-1.716969494,-1.449282147,2.585844105,1.110972277,-0.332652481,-1.125920075,1,,,,
PP38-2019-APR,-1.337145899,-1.2052968,2.418246328,1.071802437,-0.468999219,-1.396395114,1,,,,
PP38-2020-SEP,-2.029923294,-1.582556998,2.828394805,1.200951676,-0.484767728,-2.104442549,1,,,,
PP4-2019-APR,-1.762152877,-1.541718352,2.232958512,1.237932404,-0.458153593,-1.104994249,1,,,,
PP4-2020-JUL,-2.050233378,-1.457159051,2.235002349,0.691445965,-0.47564367,-0.733056202,1,,,,
PP4-2022-SEP,-1.756253618,-1.721351235,2.119476884,1.215077108,-0.525196039,-1.050647675,1,,,,
PP402-2014-JUL,-1.170850444,-1.431068056,1.750320953,0.994329646,0.113040998,-0.80473005,1,,,,
PP402-2019-APR,-1.750157716,-1.694147618,2.11295607,0.954638976,-0.585090401,-1.225145259,1,,,,
PP402-2019-SEP,-1.757302375,-1.49493258,2.202300954,1.133553086,-0.736624408,-1.196565601,1,,,,
PP402-2021-APR,-1.519300032,-1.665386329,2.114123977,1.368738157,0.121762751,-1.232140094,1,,,,
PP8-2014-SEP,-1.855426723,-1.660268266,2.281037349,1.192017748,-0.824709535,-1.030052298,1,,,,
