x	MP_1804_P22_v_BS20	MP_1804_P4_v_A_KAsH	MP_1804_P4_v_BS20	MP_1804_P8_v_BS20	MP_1804_P28_v_BS20	MP_1804_P402_v_BS20	MP_1804_P12_v_BS20	MP_1809_P4_v_BSsF	MP_1809_P4_v_BS20	MP_1809_P8_o_BSsF	MP_1809_P8_v_BS20	MP_1809_P28_v_BS20	MP_1809_P38_o_BSsF	MP_1809_P38_v_BSsF	MP_1809_P38_v_BS20	MP_1809_P402_v_BSsF	MP_1809_P402_v_BS20	MP_1809_P12_v_BSsF	MP_1809_P12_v_BS20
ASV_571	0	0	0	0	0	0	0	0	0	0	0	17	44	0	0	104	0	5	0
ASV_576	0	0	0	38	0	0	34	0	0	0	0	0	0	0	0	0	0	71	0
ASV_586	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_594	0	0	0	0	0	0	4	0	0	0	0	0	62	1	1	0	0	0	0
ASV_596	0	0	0	7	76	7	64	0	0	0	0	0	0	0	0	0	0	0	0
ASV_600	0	0	0	0	0	5	55	0	0	0	0	0	0	0	3	0	0	0	0
ASV_603	0	0	0	0	0	0	0	0	0	0	0	37	0	3	59	0	0	0	0
ASV_607	0	0	0	0	0	0	0	0	0	18	0	0	20	0	6	0	0	17	0
ASV_615	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0
ASV_619	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_621	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0
ASV_63	0	0	0	0	0	0	0	0	0	0	3972	0	0	0	0	0	0	644	0
ASV_635	0	0	0	0	0	0	0	46	7	0	0	0	0	0	0	0	0	0	0
ASV_637	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	53	0
ASV_642	79	0	0	0	0	0	0	0	0	0	0	5	13	0	0	0	0	0	0
ASV_650	0	8	0	0	0	0	0	0	0	3	0	1	0	0	8	55	0	5	0
ASV_657	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0
ASV_660	0	0	0	0	0	0	0	0	0	0	0	0	0	19	26	0	0	0	0
ASV_663	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_670	0	0	0	0	0	0	0	0	0	0	0	0	41	0	21	0	0	0	0
ASV_673	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_674	0	0	0	14	3	0	0	22	0	0	0	0	0	0	0	0	0	0	0
ASV_685	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	20	0
ASV_687	0	0	0	0	0	0	0	9	0	0	0	0	36	0	0	0	0	0	0
ASV_701	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_703	15	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_713	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_714	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0
ASV_721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
ASV_727	0	0	0	0	0	0	0	0	0	0	26	0	0	0	24	0	0	3	0
ASV_734	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
ASV_736	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV_737	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0
ASV_743	0	0	0	0	0	0	19	0	23	0	0	0	0	0	3	0	0	0	0
ASV_749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV_752	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_757	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	11	0	7	0
ASV_759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0	0	9	62	1590	1778	0	0
ASV_765	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_766	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_771	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_772	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_777	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_780	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3	0
ASV_786	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_790	0	0	0	0	0	0	0	0	0	0	0	0	8	2	5	0	0	0	0
ASV_796	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
ASV_799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
ASV_808	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
ASV_811	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_813	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0
ASV_814	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
ASV_816	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0
ASV_825	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_827	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
ASV_831	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0
ASV_837	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_845	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_847	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_849	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_850	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
