ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1034	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Archaeobalanidae	Solidobalanus	Solidobalanus engbergi
ASV_1035	Eukaryota	Mollusca	Gastropoda	Neogastropoda	Columbellidae	Mitrella	Mitrella gausapata
ASV_1037	Eukaryota	Mollusca	Gastropoda	Trochida	NA	NA	NA
ASV_1039	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
ASV_104	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Apolemiidae	NA	NA
ASV_1040	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_1041	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Proceraea	Proceraea nigropunctata
ASV_1042	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Eualus	NA
ASV_1043	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_1044	Eukaryota	Annelida	Polychaeta	Phyllodocida	Syllidae	Proceraea	Proceraea okadai
ASV_1046	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Heptacarpus	Heptacarpus tridens
ASV_1047	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	NA	NA
ASV_1048	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon communis
ASV_1049	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	NA
ASV_105	Eukaryota	Arthropoda	Hexanauplia	Sessilia	Balanidae	Balanus	NA
ASV_1050	Eukaryota	Chordata	Actinopteri	Perciformes	Stichaeidae	Anoplarchus	NA
ASV_1051	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	NA	NA
ASV_1053	Eukaryota	Echinodermata	Holothuroidea	Dendrochirotida	Phyllophoridae	Thyonidium	Thyonidium kurilensis
ASV_1054	Eukaryota	Chordata	Actinopteri	Gadiformes	Gadidae	Microgadus	Microgadus proximus
ASV_1055	Eukaryota	Annelida	Polychaeta	Sabellida	Oweniidae	Galathowenia	Galathowenia oculata
ASV_1056	Eukaryota	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	NA	NA
