ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_659	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_66	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica
ASV_660	Eukaryota	Annelida	Polychaeta	Spionida	NA	NA	NA
ASV_661	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Evadne	Evadne spinifera
ASV_662	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_663	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica
ASV_664	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus marshallae
ASV_665	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_666	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_667	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	Lacunidae	Lacuna	Lacuna vincta
ASV_668	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_669	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_67	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_670	Eukaryota	Mollusca	Gastropoda	Hermaeidae__o	Hermaeidae	Hermaea	NA
ASV_671	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_672	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_673	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_674	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_675	Eukaryota	Annelida	Polychaeta	Spionida	Spionidae	Boccardia	NA
ASV_676	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia pacifica
ASV_677	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus bungii
ASV_678	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	NA	NA
ASV_679	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_68	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_680	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	Podonidae	Evadne	Evadne spinifera
ASV_681	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Eucalanidae	Eucalanus	Eucalanus bungii
ASV_682	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_683	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
