ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10109	Eukaryota	Bacillariophyta	Mediophyceae	Lithodesmiales	Lithodesmiaceae	Ditylum	Ditylum brightwellii
ASV_1011	Unknown	NA	NA	NA	NA	NA	NA
ASV_10110	Eukaryota	Arthropoda	Malacostraca	Decapoda	Axiidae	Calocarides	Calocarides spinulicauda
ASV_10111	Unknown	NA	NA	NA	NA	NA	NA
ASV_10112	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa raschii
ASV_10113	Eukaryota	Onychophora	Udeonychophora	Euonychophora	NA	NA	NA
ASV_10114	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon franciscorum
ASV_10115	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus marshallae
ASV_10116	Eukaryota	Arthropoda	Insecta	Lepidoptera	NA	NA	NA
ASV_10117	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Neocalanus	Neocalanus plumchrus
ASV_10118	Eukaryota	Chordata	Actinopteri	Clupeiformes	Clupeidae	Clupea	Clupea pallasii
ASV_10119	Unknown	NA	NA	NA	NA	NA	NA
ASV_1012	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	Crangon crangon
ASV_10120	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris lamellicornis
ASV_10121	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10122	Eukaryota	Cryptophyceae__p	Cryptophyceae	Kathablepharidacea	Katablepharidaceae	Leucocryptos	Leucocryptos marina
ASV_10123	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	NA	NA
ASV_10124	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10125	Eukaryota	Mollusca	Gastropoda	Neogastropoda	Nassariidae	NA	NA
ASV_10126	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Tortanidae	Tortanus	NA
ASV_10127	Eukaryota	Arthropoda	Malacostraca	Decapoda	Crangonidae	Crangon	NA
ASV_10128	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Obeliidae	Obelia	Obelia dichotoma
ASV_10129	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	NA	NA	NA
ASV_1013	Eukaryota	Arthropoda	Malacostraca	Decapoda	Panopeidae	Lophopanopeus	Lophopanopeus bellus
ASV_10130	Unknown	NA	NA	NA	NA	NA	NA
ASV_10131	Eukaryota	Arthropoda	Malacostraca	Decapoda	Pisidae	Scyra	Scyra acutifrons
ASV_10132	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_10133	Unknown	NA	NA	NA	NA	NA	NA
ASV_10134	Eukaryota	Nemertea	Enopla	Monostilifera	NA	NA	NA
ASV_10135	Eukaryota	Zoopagomycota	Entomophthoromycetes	Entomophthorales	NA	NA	NA
ASV_10136	Eukaryota	Mollusca	Cephalopoda	Oegopsida	NA	NA	NA
ASV_10137	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	Balanidae	Balanus	Balanus glandula
ASV_10138	Unknown	NA	NA	NA	NA	NA	NA
ASV_10139	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_1014	Eukaryota	Arthropoda	Hexanauplia	Calanoida	NA	NA	NA
ASV_10140	Eukaryota	Arthropoda	Malacostraca	Decapoda	NA	NA	NA
ASV_10141	Eukaryota	Bryozoa	Gymnolaemata	NA	NA	NA	NA
ASV_10142	Eukaryota	Mollusca	Gastropoda	Littorinimorpha	NA	NA	NA
ASV_10143	Eukaryota	Arthropoda	Malacostraca	Decapoda	Cancridae	Cancer	NA
ASV_10144	Eukaryota	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus	Pagurus beringanus
ASV_10145	Eukaryota	Arthropoda	Malacostraca	Decapoda	Callianassidae	NA	NA
ASV_10146	Eukaryota	Ascomycota	Leotiomycetes	Helotiales	Tetracladium__f	Tetracladium	NA
ASV_10147	Eukaryota	Arthropoda	Malacostraca	Decapoda	Hippolytidae	Spirontocaris	Spirontocaris sica
ASV_10148	Eukaryota	Arthropoda	Insecta	Diptera	NA	NA	NA
